Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
5801,4426,19,4402,18
5851,7368,22,7292,20
5901,8308,35,8303,19
5951.01,3489,295,3972,256
5951.02,5631,296,5100,257
6001,4090,31,4286,21
6101,2252,163,2076,181
6102,3532,227,3813,326
6103,4159,244,4190,195
6104,3316,164,2962,235
6201,4636,20,4547,47
6301,6682,17,6588,20
6401,6512,18,6441,19
6701,4872,311,4916,276
6702,5396,311,5246,273
6801,6928,39,6927,15
6802,6644,503,6268,530
9901,0,12,0,12
1201,6181,435,6134,436
1202,6677,431,6566,440
1251,4732,277,4652,365
1252,6032,488,5828,628
1253,5386,583,5184,523
1254,3038,317,3289,409
1301.01,4858,266,4828,316
1301.02,3021,280,2982,302
1302,8608,335,8769,363
1401,2357,301,3549,274
1402,1421,172,1114,191
1403,2517,413,2608,404
1404,3679,468,3219,375
1405,4010,630,3647,586
1406,4202,530,4780,547
1407,4412,684,3735,469
1408,4334,509,3641,428
1409,5121,594,4490,546
1410,3735,363,3972,286
1411,2839,232,3171,253
1412,5216,565,5092,535
1413,5680,655,6727,546
1414,5441,445,4591,501
1415,6753,737,6074,822
1416,5058,467,5006,522
1418,3797,343,4559,517
1419,5192,407,5402,563
1420,3530,297,2904,295
1421,1543,336,1810,249
1422,1621,150,1492,148
1423,5499,658,5662,591
1424,4973,545,5986,748
1425,6070,624,6607,652
1426.01,5751,506,6143,687
1426.03,3923,337,3690,335
1426.04,2766,541,2890,500
1427,6124,788,7280,873
1428,4649,385,4367,453
1501,4117,323,4295,445
1502,3630,353,3376,325
1503,4257,249,4029,316
1504,4184,354,4172,318
1505,4028,239,4324,258
1506,6436,331,6902,319
1507,4413,297,4555,236
1508,4024,276,3858,208
1509,4009,192,3851,265
1510,3879,252,4188,392
1511,6689,293,7258,424
1512,3160,229,3059,202
1541,7771,639,7794,611
1542,6829,675,7117,602
1545,4329,397,4099,481
1546,4281,490,4923,477
1547,6666,407,6602,517
1548,5682,355,4649,505
1549,3656,225,3752,453
1550,5431,587,5480,853
1551,3664,370,3015,447
1571,2783,223,2584,132
1572,3519,188,3840,177
1573,3347,167,3243,169
1574,4270,170,4314,190
1601,3403,256,3229,210
1602,5587,257,5678,214
1611,5524,42,5526,19
1651,4009,503,4228,235
1652,2459,249,2268,238
1653,2367,174,2318,224
